"","x"
"ESSFdc 1 /101",1
"ESSFdc 1 /102",2
"ESSFdc 1 /103",2
"ESSFdc 1 /104",2
"ESSFdc 1 /110",1
"ESSFdc 1 /111",3
"ESSFdc 1 /112",4
"ESSFdc 2 /101",5
"ESSFdc 2 /104a",2
"ESSFdc 2 /104b",2
"ESSFdc 2 /105",2
"ESSFdc 2 /106",2
"ESSFdc 2 /110",3
"ESSFdc 2 /111",4
"ESSFdc 3 /101  ",3
"ESSFdc 3 /102",2
"ESSFdc 3 /104",6
"ESSFdc 3 /105",6
"ESSFdc 3 /110",7
"ESSFdc 3 /111",3
"ESSFdc 3 /112",4
"ESSFdcw  /101",8
"ESSFdcw  /102",9
"ESSFdcw  /103",2
"ESSFdcw  /110",10
"ESSFdh 1 /101",11
"ESSFdh 1 /103",2
"ESSFdh 1 /110",12
"ESSFdh 1 /111",7
"ESSFdh 2 /101",11
"ESSFdh 2 /110",7
"ESSFdh 2 /111",12
"ESSFdh 2 /112",13
"ESSFdk 1 /101",5
"ESSFdk 1 /103",2
"ESSFdk 1 /104",2
"ESSFdk 1 /110",3
"ESSFdk 1 /111",10
"ESSFdk 2 /101",2
"ESSFdk 2 /104",2
"ESSFdk 2 /110",7
"ESSFdk 2 /111",3
"ESSFdk 2 /112",10
"ESSFdkw  /101.1",5
"ESSFdkw  /101.2",2
"ESSFdkw  /102",14
"ESSFdkw  /103",2
"ESSFdkw  /110",5
"ESSFdv 1 /101",6
"ESSFdv 1 /102",14
"ESSFdv 1 /104",5
"ESSFdv 1 /110",3
"ESSFdv 1 /111",4
"ESSFdv 2 /101",6
"ESSFdv 2 /102",14
"ESSFdv 2 /103",2
"ESSFdv 2 /104",2
"ESSFdv 2 /110",3
"ESSFdv 2 /111",4
"ESSFmc   /01",12
"ESSFmc   /02",15
"ESSFmc   /04",16
"ESSFmc   /05",9
"ESSFmc   /06",12
"ESSFmc   /07",7
"ESSFmc   /09",4
"ESSFmc   /10",12
"ESSFmcw  /101",16
"ESSFmcw  /102",15
"ESSFmcw  /103",14
"ESSFmcw  /110",16
"ESSFmcw  /111",16
"ESSFmh   /101",11
"ESSFmh   /103",11
"ESSFmh   /104",2
"ESSFmh   /105",11
"ESSFmh   /110",7
"ESSFmh   /111",7
"ESSFmh   /112",3
"ESSFmk   /01",16
"ESSFmk   /02",15
"ESSFmk   /03",15
"ESSFmk   /04",16
"ESSFmk   /05",7
"ESSFmk   /06",12
"ESSFmk   /07",7
"ESSFmkw  /101",16
"ESSFmkw  /102",15
"ESSFmkw  /103",14
"ESSFmkw  /104",16
"ESSFmkw  /110",16
"ESSFmkw  /111",13
"ESSFmkw /104",14
"ESSFmm 1 /01",12
"ESSFmm 1 /02",15
"ESSFmm 1 /03",15
"ESSFmm 1 /04",11
"ESSFmm 1 /05",7
"ESSFmm 1 /06",7
"ESSFmm 3 /101",12
"ESSFmm 3 /102",11
"ESSFmm 3 /103",6
"ESSFmm 3 /110",7
"ESSFmm 3 /111",3
"ESSFmm 3 /112",3
"ESSFmv 1 /01",17
"ESSFmv 1 /03",17
"ESSFmv 1 /04",15
"ESSFmv 1 /05",9
"ESSFmv 2 /01",17
"ESSFmv 2 /02",17
"ESSFmv 2 /03",17
"ESSFmv 2 /04",3
"ESSFmv 2 /05",7
"ESSFmv 3 /01",17
"ESSFmv 3 /03",9
"ESSFmv 3 /04",7
"ESSFmv 3 /05",7
"ESSFmv 3 /07",15
"ESSFmv 3 /08",17
"ESSFmv 4 /01",17
"ESSFmv 4 /02",17
"ESSFmv 4 /03",17
"ESSFmv 4 /04",17
"ESSFmv 4 /05",9
"ESSFmw 1 /101.1",11
"ESSFmw 1 /101.2",3
"ESSFmw 1 /102.1",2
"ESSFmw 1 /102.2",11
"ESSFmw 1 /103",2
"ESSFmw 1 /105",11
"ESSFmw 1 /110",3
"ESSFmw 1 /111",3
"ESSFmw 2 /101.1",11
"ESSFmw 2 /101.2",11
"ESSFmw 2 /102",14
"ESSFmw 2 /103.1",6
"ESSFmw 2 /110.1",3
"ESSFmw 2 /110.2",7
"ESSFmw 2 /111",3
"ESSFmz   /01",16
"ESSFvc   /01",7
"ESSFvc   /03",9
"ESSFvc   /04",11
"ESSFvc   /111",10
"ESSFvk   /112",7
"ESSFvv   /01",13
"ESSFvv   /03",14
"ESSFwc 2 /01",7
"ESSFwc 2 /03",12
"ESSFwc 2 /04",3
"ESSFwc 2 /05",7
"ESSFwc 2 /06",7
"ESSFwc 2 /07",3
"ESSFwc 2 /09",3
"ESSFwc 2 /10",13
"ESSFwc 3 /Wb10",9
"ESSFwc 4 /101",1
"ESSFwc 4 /102",6
"ESSFwc 4 /103a",1
"ESSFwc 4 /103b",1
"ESSFwc 4 /110",7
"ESSFwc 4 /111",3
"ESSFwc 4 /112",10
"ESSFwc 4 /112(Ws08)",10
"ESSFwcw  /101",8
"ESSFwcw  /102",15
"ESSFwcw  /103",8
"ESSFwcw  /104.1",15
"ESSFwcw  /104.2",15
"ESSFwcw  /110",4
"ESSFwh 1 /101",1
"ESSFwh 1 /102",6
"ESSFwh 1 /103",11
"ESSFwh 1 /104",11
"ESSFwh 1 /110.1",7
"ESSFwh 1 /110.2",7
"ESSFwh 1 /111",3
"ESSFwh 1 /111(Ws08)",9
"ESSFwh 2 /101",1
"ESSFwh 2 /102",6
"ESSFwh 2 /103",6
"ESSFwh 2 /104",11
"ESSFwh 2 /110",7
"ESSFwh 2 /111",7
"ESSFwh 2 /112",7
"ESSFwh 3 /101",1
"ESSFwh 3 /102",11
"ESSFwh 3 /103",11
"ESSFwh 3 /104.1",11
"ESSFwh 3 /104.2",11
"ESSFwh 3 /110",7
"ESSFwh 3 /112",10
"ESSFwk 1 /01",12
"ESSFwk 1 /02",6
"ESSFwk 1 /03",12
"ESSFwk 1 /04",7
"ESSFwk 1 /05",7
"ESSFwk 1 /06",13
"ESSFwk 1 /07",7
"ESSFwk 2 /01",12
"ESSFwk 2 /02",12
"ESSFwk 2 /03",7
"ESSFwk 2 /04",13
"ESSFwk 2 /05",7
"ESSFwk 2 /06",4
"ESSFwm 1 /101",1
"ESSFwm 1 /103",6
"ESSFwm 1 /104",1
"ESSFwm 1 /110",7
"ESSFwm 1 /111",4
"ESSFwm 1 /112",10
"ESSFwm 2 /101",1
"ESSFwm 2 /102",6
"ESSFwm 2 /103",1
"ESSFwm 2 /104",8
"ESSFwm 2 /110",1
"ESSFwm 2 /111",4
"ESSFwm 2 /112",10
"ESSFwm 3 /101",8
"ESSFwm 3 /102",6
"ESSFwm 3 /103",11
"ESSFwm 3 /104",15
"ESSFwm 3 /105",8
"ESSFwm 3 /110",1
"ESSFwm 3 /111",4
"ESSFwm 3 /112",13
"ESSFwm 4 /101",1
"ESSFwm 4 /102b",11
"ESSFwm 4 /103.1",11
"ESSFwm 4 /103.2",11
"ESSFwm 4 /110",1
"ESSFwm 4 /111",4
"ESSFwmw  /101",8
"ESSFwmw  /102",6
"ESSFwmw  /103",6
"ESSFwmw  /110",4
"ESSFwv   /01",16
"ESSFwv   /03",16
"ESSFwv   /04",9
"ESSFwv   /05",12
"ESSFwv   /06",7
"ESSFwv   /07",16
"ESSFwv   /08",9
"ESSFwv   /09",7
"ESSFwvw  /101",16
"ESSFwvw  /101.1(Sk)",16
"ESSFwvw  /102",14
"ESSFwvw  /103",14
"ESSFwvw  /104",16
"ESSFwvw  /105",14
"ESSFwvw  /110",16
"ESSFwvw  /111",13
"ESSFwvw /103",14
"ESSFxc 1 /101",5
"ESSFxc 1 /104",2
"ESSFxc 1 /110",2
"ESSFxc 1 /111",10
"ESSFxc 1 /112",10
"ESSFxc 2 /101",5
"ESSFxc 2 /103a",2
"ESSFxc 2 /103b",14
"ESSFxc 2 /110",5
"ESSFxc 2 /111",4
"ESSFxc 2 /112",10
"ESSFxc 2 /Ws12  ",9
"ESSFxc 3 /102",14
"ESSFxc 3 /110",2
"ESSFxc 3 /111",10
"ESSFxc 3 /112",4
"ESSFxv 1 /01",2
"ESSFxv 1 /02",14
"ESSFxv 1 /04",2
"ESSFxv 1 /05",2
"ESSFxv 1 /06",2
"ESSFxv 1 /07",5
"ESSFxv 1 /08",9
"ESSFxv 1 /09",9
"ESSFxv 2 /01",2
"ESSFxv 2 /01.1",2
"ESSFxv 2 /05",2
"ESSFxv 2 /06",2
"ESSFxv 2 /08",15
"ESSFxv 2 /10",4
"Fl01",9
"MS  dc 1 /110",11
"MS  dc 1 /111",3
"MS  dc 2 /05",9
"MS  dc 2 /07",4
"MS  dc 3 /110",6
"MS  dk   /111b (Ws07)",15
"MS  dm 1 /112",7
"SBS mc 2 /10Ws07",9
